Company,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,OS
Acer,Aspire 3,Laptop,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Linux
Acer,Aspire A515-51G,Laptop,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Windows
Acer,Aspire A515-51G,Laptop,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Windows
Acer,Aspire E5-475,Laptop,14,1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Windows
Acer,Aspire A515-51G-32MX,Laptop,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,Windows
Acer,Aspire 5,Laptop,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Windows
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows
Acer,Spin 3,Laptop,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,256GB SSD,Windows
Acer,Swift 3,Laptop,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows
Acer,Aspire A515-51G-37JS,Laptop,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Windows
Acer,Aspire 5,Laptop,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Windows
Acer,Aspire A315-51,Laptop,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows
Acer,Aspire A517-51G,Laptop,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Windows
Acer,Aspire A315-31,Laptop,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Windows
Acer,Aspire A517-51G,Laptop,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows
Acer,Aspire A315-51,Laptop,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Windows
Acer,Swift 7,Laptop,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,Windows
Acer,Aspire E5-576G,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Windows
Acer,Aspire 7,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Linux
Acer,Aspire E5-576G,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows
Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Windows
Acer,Aspire A315-51,Laptop,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Linux
Acer,Nitro AN515-51,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Windows
Acer,Aspire 5,Laptop,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Windows
Acer,Aspire A515-51G,Laptop,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Windows
Acer,Aspire A517-51G,Laptop,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows
Acer,Chromebook C910-C2ST,Laptop,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2GB,16GB SSD,Chrome OS
Acer,Aspire A715-71G,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Linux
Acer,TravelMate B,Laptop,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Windows
Acer,Aspire 5,Laptop,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8GB,256GB SSD,Windows
Acer,Aspire E5-575,Laptop,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128GB SSD,Windows
Acer,Aspire 5,Laptop,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Windows
Acer,Aspire 7,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Linux
Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Windows
Acer,Aspire ES1-572,Laptop,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Linux
Acer,Aspire E5-576G,Laptop,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows
Acer,TravelMate B,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,Windows
Acer,Aspire 5,Laptop,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Windows
Acer,Aspire 5,Laptop,15.6,1366x768,AMD A10-Series 9620P 2.5GHz,8GB,1TB HDD,Windows
Acer,Aspire A515-51G-59QF,Laptop,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Windows
Acer,Aspire A515-51G,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,500GB HDD,Windows
Acer,Aspire 7,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Linux
Acer,Spin SP111-31,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 2.0GHz,4GB,32GB Flash Storage,Windows
Acer,Aspire 1,Laptop,14,Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32GB Flash Storage,Windows
Acer,Swift SF114-31-P5HY,Laptop,14,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Windows
Acer,Extensa EX2540,Laptop,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Windows
Acer,Swift 3,Laptop,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Linux
Acer,Aspire VX5-591G,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16GB,256GB SSD,Windows
Acer,Chromebook 14,Laptop,14,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,32GB Flash Storage,Chrome OS
Acer,TravelMate B117-M,Netbook,11.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,32GB Flash Storage,Windows
Acer,Predator 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD + 1TB HDD,Windows
Acer,Extensa EX2540-58KR,Laptop,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Windows
Acer,Aspire ES1-572,Laptop,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Windows
Acer,Chromebook 14,Laptop,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Chrome OS
Acer,Aspire 3,Laptop,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Windows
Acer,TravelMate P238-M,Laptop,13.3,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Windows
Acer,Aspire A315-31,Laptop,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Linux
Acer,Swift 3,Laptop,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Windows
Acer,Predator G9-793,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD + 1TB HDD,Windows
Acer,Chromebook 11,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Chrome OS
Acer,Swift 3,Laptop,14,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,128GB SSD,Windows
Acer,Chromebook C731-C78G,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Chrome OS
Acer,Chromebook CB5-571-C1DZ,Laptop,15.6,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core 3205U 1.5GHz,4GB,16GB Flash Storage,Chrome OS
Acer,Aspire E5-575,Laptop,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Windows
Acer,TravelMate P259-G2,Laptop,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Windows
Acer,Chromebook 14,Laptop,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Chrome OS
Acer,Chromebook C738T-C2EJ,2 in 1 Convertible,11.6,IPS Panel Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Chrome OS
Acer,Aspire F5-573G-510L,Laptop,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,12GB,128GB SSD + 1TB HDD,Windows
Acer,Aspire ES1-533,Laptop,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Windows
Acer,Nitro 5,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD + 1TB HDD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,AMD A9-Series 9420 3GHz,6GB,1TB HDD,Windows
Acer,Aspire ES1-523,Laptop,15.6,1366x768,AMD A8-Series 7410 2.2GHz,8GB,1TB HDD,Windows
Acer,Aspire ES1-523,Laptop,15.6,1366x768,AMD A8-Series 7410 2.2GHz,4GB,500GB HDD,Windows
Acer,Aspire F5-573G,Laptop,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD + 1TB HDD,Windows
Acer,Chromebook 15,Laptop,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,4GB,16GB SSD,Chrome OS
Acer,Aspire E5-576G,Laptop,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,Intel Celeron Dual Core N3350 2GHz,4GB,500GB HDD,Windows
Acer,Aspire E5-576G,Laptop,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Windows
Acer,Aspire 3,Laptop,15.6,1366x768,Intel Celeron Dual Core N3350 2GHz,4GB,1TB HDD,Linux
Acer,Aspire E5-774G,Laptop,17.3,1600x900,Intel Core i3 6006U 2.0GHz,8GB,1TB HDD,Windows
Acer,E5 774G,Laptop,17.3,1600x900,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows
Acer,Aspire ES1-572,Laptop,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Linux
Acer,Aspire ES1-531,Laptop,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Linux
Apple,MacBook Pro,Laptop,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,macOS
Apple,Macbook Air,Laptop,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,macOS
Apple,MacBook Pro,Laptop,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,macOS
Apple,MacBook Pro,Laptop,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,macOS
Apple,MacBook Pro,Laptop,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Mac OS
Apple,Macbook Air,Laptop,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,macOS
Apple,MacBook Pro,Laptop,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,macOS
Apple,"MacBook 12""",Laptop,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,macOS
Apple,MacBook Pro,Laptop,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,macOS
Apple,MacBook Pro,Laptop,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,macOS
Apple,MacBook Air,Laptop,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Mac OS
Apple,MacBook Air,Laptop,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Mac OS
Apple,MacBook Pro,Laptop,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,macOS
Apple,"MacBook 12""",Laptop,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,macOS
Apple,MacBook Pro,Laptop,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,512GB SSD,macOS
Apple,MacBook Pro,Laptop,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8GB,512GB SSD,macOS
Apple,"MacBook 12""",Laptop,12,IPS Panel Retina Display 2304x1440,Intel Core M 1.2GHz,8GB,512GB Flash Storage,Mac OS
Apple,"MacBook 12""",Laptop,12,IPS Panel Retina Display 2304x1440,Intel Core M 1.1GHz,8GB,256GB Flash Storage,Mac OS
Apple,MacBook Air,Laptop,11.6,1366x768,Intel Core i5 1.6GHz,4GB,256GB Flash Storage,Mac OS
Asus,ZenBook UX430UN,Laptop,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Windows
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,Windows
Asus,VivoBook Max,Laptop,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Windows
Asus,ZenBook Pro,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Windows
Asus,Zenbook UX430UA,Laptop,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows
Asus,VivoBook S15,Laptop,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  1TB HDD,Windows
Asus,VivoBook S15,Laptop,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows
Asus,ZenBook UX430UA,Laptop,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows
Asus,ROG GL703VD-GC028T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows
Asus,Vivobook X541UV-DM1217T,Laptop,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows
Asus,Pro P2540UA-XO0198T,Laptop,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Windows
Asus,ROG G703VI-E5062T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD +  1TB HDD,Windows
Asus,VivoBook Pro,Laptop,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD + 1TB HDD,Windows
Asus,Rog G701VIK-BA060T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD,Windows
Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD + 1TB HDD,Windows
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Windows
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256GB SSD + 1TB HDD,Windows
Asus,VivoBook S15,Laptop,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows
Asus,ZenBook UX530UQ-PRO,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Windows
Asus,VivoBook S14,Laptop,14,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Windows
Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Windows
Asus,ZenBook UX410UA-GV183T,Laptop,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows
Asus,VivoBook S15,Laptop,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Windows
Asus,Zenbook UX410UA-GV027T,Laptop,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows
